crime, count
Wildlife Crime,11
Violent Disorder,29
Violence without Injury,33
Violence with Injury,33
Threat or Possession With Intent to Commit Crimina,33
Theft or Taking of a Motor Vehicle,33
Theft from Person,33
Theft from a Motor Vehicle,33
Soliciting for Prostitution,9
Shoplifting,33
Robbery of Personal Property,33
Robbery of Business Property,32
Rape,33
"Racially or Religiously Aggravated Public Fear, Al",33
Public Fear Alarm or Distress,33
Profitting From or Concealing Proceeds of Crime,33
Possession of Other Weapon,33
Possession of Firearms Offences,33
Possession of Firearm with Intent,32
Possession of False Documents,33
Possession of Drugs,33
Possession of Article with Blade or Point,33
Perverting Course of Justice,33
Perjury,23
Other Theft,33
Other Sexual Offences,33
"Other Offences Against the State, or Public Order",33
Other Notifiable Offences,33
Other Forgery,33
Other Firearm Offences,22
Offender Management Act,14
Obscene Publications,33
"Making, Supplying or Possessing Articles for use i",33
Interfering with a Motor Vehicle,33
Homicide,31
Handling Stolen Goods,33
Going Equipped for Stealing,33
Fraud or Forgery Associated with Driver Records,32
Forgery or Use of Drug Prescription,30
Exploitation of Prostitution,22
Drug Trafficking,33
"Disclosure, Obstruction, False or Misleading State",32
Dangerous Driving,32
Criminal Damage,33
Concealing an Infant Death Close to Birth,1
Burglary - Residential,33
Burglary - Business and Community,33
Bigamy,17
Bicycle Theft,33
Bail Offences,25
Arson,33
Aggravated Vehicle Taking,33
Absconding from Lawful Custody,28
